,Місяць,Рис,Хліб пшеничний з борошна вищого ґатунку,Хліб пшеничний з борошна першого ґатунку,"Хліб житній, житньо-пшеничний",Батон,Макаронні вироби з м’яких сортів пшениці,Борошно пшеничне,Крупи манні,Крупи гречані,Крупи ячні,Пшоно,Крупи пшеничні,Яловичина,Свинина,Птиця (тушки курячі),Філе куряче,Ковбаси варені першого ґатунку,Риба морожена,"Молоко пастеризоване жирністю до 2,6% включно",Сири м’які жирні,Сметана жирністю до 15% включно,Яйця,Масло вершкове,Олія соняшникова,Сало,Яблука,Капуста білокачанна,Цибуля ріпчаста,Буряк,Морква,Картопля,Цукор,Молочні суміші для дитячого харчування,Горілка,Вина столові вітчизняні,Пиво вітчизняних марок,Сигарети з фільтром вітчизняних марок,Сигарети з фільтром медіум класу,Сигарети з фільтром преміум класу,Сигарети без фільтру,Плата за оренду 1-кімнатної квартири,Антибіотики вітчизняні,Антибіотики імпортні,Судинорозширювальні засоби вітчизняні,Судинорозширювальні засоби імпортні,Жарознижувальні та знеболювальні препарати вітчизняні,Жарознижувальні та знеболювальні препарати імпортні,Стоматологічні послуги,Бензин А-92,Бензин А-95,Дизельне пальне,Газ скраплений для автомобілів,Проїзд у міському транспорті,Дошкільна освіта,Послуги у сфері страхування особистого транспорту
368,2019-04-01,23.06,22.85,18.41,19.2,13.09,18.19,11.71,14.36,16.7,12.65,32.54,,128.5,116.17,58.4,105.56,95.39,77.26,24.32,100.86,58.83,20.2,40.52,34.95,75.71,9.49,24.77,23.96,14.72,13.08,10.73,14.08,,91.48,65.05,16.14,30.61,35.9,42.6,26.83,3408.59,16.7,105.99,10.53,48.66,8.14,15.84,444.55,27.75,28.85,28.33,13.16,4.88,20.35,927.47
369,2019-05-01,22.84,23.08,18.68,19.69,13.28,18.25,11.82,14.44,16.51,12.57,34.68,,128.71,119.26,59.37,108.25,95.07,77.77,24.25,99.96,58.79,17.0,40.64,34.93,73.74,11.12,18.69,28.48,21.55,22.52,14.07,14.25,,91.53,65.47,16.3,31.48,36.59,43.04,27.25,3429.3,16.62,106.04,10.64,48.49,8.25,16.11,446.92,28.93,30.03,29.57,13.52,4.91,20.38,936.04
370,2019-06-01,22.68,24.05,18.99,20.04,13.49,18.27,11.83,14.25,16.58,12.39,36.1,,128.5,118.95,60.22,108.18,96.6,78.24,24.15,99.4,58.39,12.47,40.72,34.99,72.07,14.91,9.73,18.73,19.66,20.64,17.26,15.17,,91.46,66.15,16.55,32.16,37.24,43.6,27.76,3445.57,16.9,106.39,10.72,48.43,8.4,16.28,449.27,28.87,29.99,29.34,13.57,4.97,20.98,942.37
371,2019-07-01,22.84,24.21,19.08,20.29,13.57,18.31,11.84,14.12,16.47,12.13,36.09,,129.37,119.63,61.78,109.19,96.92,78.72,24.23,99.71,58.61,14.35,40.63,34.9,72.29,16.92,8.85,12.24,11.42,16.33,15.3,15.6,,91.81,66.01,16.72,32.71,37.86,44.06,28.45,3460.02,17.07,106.09,10.72,48.27,8.62,16.34,450.72,27.96,29.08,28.39,13.01,5.0,21.24,942.14
372,2019-08-01,22.87,23.9,19.15,20.39,13.64,18.24,11.74,14.0,17.0,12.08,35.22,,130.24,121.63,62.22,109.62,97.43,79.01,24.43,99.61,58.29,19.89,40.87,34.96,72.77,17.32,8.38,10.4,8.0,10.0,15.02,15.3,,91.86,66.15,16.92,33.27,38.35,44.44,29.05,3482.23,17.14,105.81,10.78,48.18,8.72,16.39,453.07,27.65,28.77,28.0,11.75,5.02,21.61,941.61
373,2019-09-01,23.1,23.54,19.24,20.54,13.63,18.29,11.65,14.05,20.79,11.91,32.18,,131.12,122.78,62.27,109.16,97.87,79.47,24.73,101.5,59.72,18.7,41.44,34.97,73.06,16.97,7.94,8.94,7.27,8.22,14.63,15.21,,92.08,66.1,17.06,33.98,39.01,45.16,29.53,3572.39,17.26,105.9,10.82,47.95,8.85,16.63,458.3,27.58,28.7,27.95,12.03,5.04,21.24,1035.98
374,2019-10-01,23.11,23.61,19.31,20.6,13.62,18.29,11.47,13.87,26.53,11.67,28.88,,132.2,122.31,62.07,107.89,97.68,79.32,25.14,103.17,60.49,20.45,41.84,34.84,73.7,16.5,7.45,8.73,7.18,7.75,15.29,14.85,,92.26,66.2,17.17,34.5,39.54,45.95,30.2,3632.81,17.48,106.22,10.92,47.86,8.99,16.88,460.24,27.55,28.68,27.99,11.87,5.06,21.77,1121.75
375,2019-11-01,23.22,23.77,19.55,20.69,13.82,18.14,11.28,13.76,27.24,11.59,27.29,,132.05,119.32,60.74,104.33,98.02,78.83,25.22,104.7,61.0,20.93,42.19,34.72,74.78,16.26,6.55,8.97,6.78,6.98,14.14,14.49,,92.3,66.19,17.19,35.06,40.1,46.71,30.72,3674.07,17.62,106.24,10.95,48.01,9.15,17.21,464.25,27.49,28.62,27.87,11.67,5.1,21.77,1123.12
376,2019-12-01,22.83,23.91,19.58,20.74,13.86,18.31,11.22,13.64,27.77,11.45,25.08,,132.81,119.24,59.37,101.72,99.29,78.32,25.31,105.7,62.03,21.07,42.59,34.44,75.84,16.34,6.06,8.96,6.52,6.4,13.52,14.3,,92.25,66.34,17.19,35.68,40.72,47.46,31.27,3701.02,17.59,105.35,10.92,47.73,9.22,17.47,466.08,26.98,28.09,27.45,12.53,5.11,21.81,1123.66
378,2020-01-01,22.32,24.14,19.74,20.67,13.75,18.09,11.1,13.21,28.36,11.35,23.0,,134.85,117.98,58.23,100.42,97.76,77.99,24.91,106.86,61.17,20.66,42.71,34.35,77.0,16.62,5.84,9.03,6.49,6.15,13.13,14.02,,92.06,66.75,17.24,36.38,41.41,48.41,32.61,3803.26,17.7,105.38,10.98,47.0,9.31,18.34,497.73,25.78,26.89,26.31,12.63,5.31,23.99,1134.86
379,2020-02-01,22.37,24.25,19.78,20.65,13.83,18.15,11.18,13.15,28.5,11.36,22.25,,136.69,115.75,55.09,94.83,99.94,78.2,24.99,107.26,61.16,17.07,42.7,34.31,76.35,16.79,5.54,9.52,6.41,6.03,12.8,14.14,,92.17,66.34,17.37,37.01,42.01,49.19,33.4,3811.64,17.72,105.75,11.03,46.77,9.36,18.59,504.42,25.41,26.51,25.81,11.84,5.37,24.26,1142.37
380,2020-03-01,22.83,24.38,19.81,20.77,13.85,18.45,11.34,13.48,30.02,11.45,22.21,,138.07,116.7,54.12,92.06,99.29,78.38,25.0,107.38,61.4,14.98,43.18,34.29,76.57,17.3,5.82,11.17,6.47,6.23,12.89,14.55,,92.25,66.94,17.38,37.74,42.63,49.99,34.05,3814.36,17.95,107.63,11.25,47.4,9.62,18.99,507.48,25.12,26.22,25.49,11.01,5.39,24.47,1143.63
381,2020-04-01,23.4,24.41,19.86,20.97,13.93,18.84,11.6,13.69,35.42,11.53,21.94,,141.06,121.9,52.22,88.18,99.56,79.1,25.01,107.41,61.77,16.34,43.3,34.4,75.45,19.25,6.57,18.46,6.84,6.88,14.75,15.25,,92.22,67.23,17.44,38.48,43.44,50.82,34.85,3792.63,18.33,110.43,11.45,48.95,10.0,19.16,508.6,22.84,23.91,23.31,9.79,5.39,24.49,1138.97
382,2020-05-01,23.77,24.39,19.98,21.06,13.95,18.99,11.75,13.99,36.74,11.58,21.62,,141.73,120.07,49.59,80.76,100.44,79.96,25.09,107.62,61.79,19.06,42.88,34.14,74.24,25.68,8.03,17.34,5.75,7.0,15.27,15.14,,92.23,67.08,17.61,39.45,44.28,51.57,35.44,3777.15,18.22,109.12,11.45,49.24,10.05,18.99,510.93,20.85,21.88,21.23,8.83,5.39,24.49,1139.96
383,2020-06-01,23.57,24.81,20.09,21.03,13.96,19.18,11.79,14.44,36.96,11.45,20.97,,142.65,118.76,50.5,83.1,100.88,80.19,24.95,106.72,61.85,19.1,43.27,34.31,73.81,34.71,8.04,12.51,7.57,12.53,16.06,14.94,,92.13,67.1,17.58,40.0,44.81,52.17,35.64,3810.54,18.13,109.06,11.46,49.08,10.26,18.87,520.27,20.79,21.91,21.24,11.07,5.41,25.02,1141.43
384,2020-07-01,23.43,24.94,20.12,21.04,14.03,19.26,11.67,14.46,37.18,11.38,20.2,,142.44,118.1,51.25,84.84,99.71,80.21,24.91,106.3,61.93,16.22,43.29,34.31,73.56,38.06,6.3,6.78,7.56,14.48,12.67,14.79,,92.42,67.08,17.61,40.42,45.38,52.52,36.08,3829.74,18.1,108.73,11.4,49.51,10.26,19.04,524.95,21.49,22.62,21.85,11.6,5.41,25.2,1147.92
385,2020-08-01,23.69,24.98,20.16,20.96,13.97,19.11,11.57,14.34,36.92,11.32,19.61,,142.59,119.51,52.18,87.39,99.49,80.1,24.83,106.31,61.83,16.79,43.43,34.62,73.27,28.96,5.89,5.91,6.26,10.85,10.02,14.71,,92.53,67.05,17.59,40.73,46.0,53.39,36.45,3852.08,18.26,109.75,11.52,50.36,10.46,18.81,527.81,22.11,23.22,22.45,12.01,5.51,25.31,1148.49
386,2020-09-01,23.8,25.36,20.37,21.07,14.08,19.08,11.43,14.41,36.86,11.41,18.64,,143.27,119.37,52.93,88.05,100.94,80.73,25.0,106.45,62.24,17.99,43.42,35.1,73.89,22.31,6.01,5.73,5.71,7.92,9.08,14.94,,92.55,66.82,17.53,41.43,46.85,54.69,37.04,3880.46,18.3,110.6,11.49,50.8,10.49,18.79,532.93,22.24,23.36,22.6,12.14,5.51,24.79,1149.62
387,2020-10-01,23.46,25.94,20.62,21.32,14.17,19.18,11.61,14.63,36.99,11.65,17.89,,143.29,119.13,54.38,90.03,102.54,80.31,25.19,108.25,62.6,22.19,43.64,37.53,75.3,19.46,5.76,5.32,5.48,6.9,8.96,18.3,,92.46,66.93,17.66,41.95,48.0,55.89,37.68,3890.09,18.27,111.39,11.56,51.03,10.52,18.37,537.51,22.41,23.54,22.65,12.38,5.51,24.79,1155.33
388,2020-11-01,23.7,26.52,20.99,21.83,14.56,19.6,12.31,15.21,37.28,12.32,17.5,,144.16,117.46,55.17,90.76,103.89,80.97,25.39,110.26,63.47,23.71,44.06,40.11,77.74,18.17,5.07,5.03,5.2,6.15,9.23,19.7,,92.69,66.96,17.46,42.61,48.91,57.03,38.21,3893.6,18.43,112.34,11.67,52.15,10.68,18.29,539.89,23.12,24.27,23.33,12.81,5.51,24.85,1160.06
389,2020-12-01,23.93,26.73,21.4,22.07,14.75,20.17,12.7,15.91,37.43,12.98,17.51,,144.82,115.86,55.96,91.71,103.91,80.97,25.6,111.46,63.81,27.48,44.47,42.07,78.95,18.21,4.76,5.12,5.39,6.0,10.15,20.9,,92.65,66.25,17.49,43.26,49.91,57.88,38.73,3903.31,18.52,112.43,11.76,52.73,10.91,18.29,547.92,23.82,24.96,24.05,12.71,5.51,24.86,1167.37
391,2021-01-01,24.55,27.7,21.98,23.0,14.89,20.79,13.18,16.26,37.56,13.49,17.51,,149.51,115.16,57.4,93.99,104.73,81.96,25.41,113.92,64.15,32.31,44.44,44.04,81.72,19.08,4.97,5.55,6.4,6.34,11.14,21.89,,92.96,66.68,17.93,44.4,51.55,59.19,39.35,3986.74,18.58,112.56,11.82,53.09,10.81,18.23,556.47,24.52,25.66,24.84,12.67,5.57,27.79,1194.4
392,2021-02-01,24.9,28.26,22.52,23.59,15.42,21.22,13.75,16.83,38.3,14.27,17.99,,153.99,115.33,60.13,97.37,106.31,83.05,25.83,114.18,65.59,32.26,45.04,47.55,82.49,19.76,5.73,6.28,7.56,7.39,11.87,23.13,,93.13,67.14,18.06,44.71,52.34,59.85,39.83,4024.53,18.57,112.09,11.86,53.33,10.7,18.01,568.55,26.07,27.19,26.35,14.58,5.58,29.0,1199.41
393,2021-03-01,25.99,29.33,23.19,24.27,15.86,22.88,14.14,17.44,40.01,14.75,18.51,,157.24,117.7,63.06,102.8,106.31,83.07,25.96,115.73,66.17,32.02,45.77,52.58,83.67,20.39,6.2,6.54,8.1,7.84,12.17,24.38,,93.33,67.75,18.14,45.31,52.9,60.49,40.33,4040.38,18.63,112.49,11.96,53.85,10.7,17.99,572.5,27.54,28.65,27.82,15.62,5.61,29.69,1208.14
394,2021-04-01,26.61,29.51,23.5,24.48,16.11,23.25,14.49,17.65,41.02,15.13,18.42,,159.13,118.33,65.35,104.46,107.21,82.36,25.99,116.95,67.0,31.8,46.06,58.05,83.79,20.66,6.18,6.35,8.19,7.72,11.92,25.63,,93.33,67.74,18.35,46.22,54.28,61.47,41.58,4056.51,18.92,112.99,12.09,54.61,10.9,18.15,576.01,27.73,28.73,28.08,15.88,5.68,30.46,1219.76
395,2021-05-01,27.01,29.68,23.76,24.77,16.27,23.11,14.38,17.29,41.44,15.41,18.2,,160.3,120.63,67.25,106.92,110.16,83.34,26.44,116.52,67.88,26.24,46.61,62.57,83.77,20.94,10.94,8.33,10.67,9.79,11.96,25.75,,93.39,68.71,18.23,47.08,55.09,62.19,42.27,4100.46,19.15,113.57,12.18,54.88,11.07,18.12,578.53,28.16,29.14,27.94,15.86,5.8,30.87,1222.82
396,2021-06-01,27.23,29.65,23.8,24.87,16.33,23.15,14.33,16.87,42.01,15.22,17.69,,160.94,120.11,68.19,107.62,110.63,84.27,26.42,116.61,68.17,22.09,46.79,64.95,82.93,21.14,7.95,11.0,17.65,15.03,13.3,25.92,,93.31,69.24,18.59,47.81,55.72,62.63,42.87,4113.08,19.36,113.36,12.25,54.95,11.21,18.17,584.49,28.36,29.27,27.61,15.73,6.21,31.49,1232.4
397,2021-07-01,27.27,29.9,23.86,24.9,16.41,23.19,14.25,17.01,42.07,15.27,17.55,,162.45,120.67,69.34,109.7,113.56,84.06,26.5,117.04,69.28,22.13,47.1,64.73,82.64,21.42,7.26,11.49,15.12,17.73,11.79,27.63,,93.61,69.52,18.77,48.27,56.19,63.05,43.49,4148.21,19.4,112.13,12.34,54.72,11.32,18.22,585.98,29.18,30.17,28.39,15.92,6.46,31.52,1248.3
398,2021-08-01,27.4,30.3,23.91,24.95,16.43,23.19,14.3,16.91,42.2,15.01,17.11,,165.0,122.11,69.94,111.39,113.06,84.87,26.62,117.22,70.37,26.29,47.41,64.33,82.81,20.13,6.6,10.64,9.29,10.29,8.66,28.7,,93.7,70.19,18.84,48.85,56.54,63.63,43.87,4172.68,19.45,111.4,12.29,54.61,11.38,18.18,589.05,29.32,30.31,28.36,17.35,6.87,31.72,1257.61
399,2021-09-01,27.65,30.84,24.48,25.33,16.68,23.15,14.38,17.06,42.54,14.96,17.25,,172.04,124.45,71.4,115.1,112.96,85.78,27.2,119.18,71.67,29.98,48.28,63.71,86.58,17.67,6.62,9.43,8.03,8.91,8.32,28.69,,93.84,69.98,19.05,49.49,57.25,64.4,44.14,4250.73,19.64,111.81,12.36,54.6,11.71,18.36,597.3,29.15,30.15,28.26,17.63,6.91,31.83,1261.22
400,2021-10-01,27.88,31.57,25.18,26.05,17.1,23.3,14.48,17.29,43.44,15.06,17.48,,175.51,124.58,72.42,117.47,115.56,86.25,27.63,120.22,72.96,30.3,49.13,62.69,90.24,14.84,7.54,9.59,9.06,8.99,8.69,27.8,,94.11,69.61,18.94,50.02,57.79,65.19,44.77,4266.76,19.93,113.06,12.59,55.12,12.09,18.72,602.25,29.97,30.9,29.4,18.25,7.07,31.84,1271.5
401,2021-11-01,28.2,32.41,25.78,26.69,17.55,23.89,14.66,17.69,46.33,15.44,18.14,,179.37,123.84,71.02,117.41,116.41,87.49,27.96,124.25,74.43,30.63,49.93,62.32,96.12,13.09,8.31,10.61,10.55,9.19,8.61,28.2,,94.22,70.43,19.19,50.55,58.44,66.09,44.87,4292.86,20.23,114.69,12.75,54.88,12.45,19.1,606.81,30.8,31.77,30.58,18.78,7.27,31.83,1299.43
402,2021-12-01,28.74,33.08,26.29,27.46,17.88,24.36,15.01,18.18,47.77,15.8,18.42,,182.84,123.75,70.82,117.1,120.15,87.86,28.55,125.98,74.11,33.79,50.59,61.43,99.41,12.31,11.63,12.09,13.34,9.98,8.76,27.52,82.53,94.2,70.01,19.2,51.07,59.03,66.96,45.38,4294.23,20.27,114.16,12.71,54.96,12.53,18.97,613.68,29.63,30.47,29.61,19.13,7.32,31.84,1342.23
404,2022-01-01,29.3,33.61,27.11,29.73,18.1,24.95,15.48,18.85,47.61,16.41,18.74,17.42,195.61,123.95,73.52,122.65,124.41,103.7,28.93,133.6,75.12,35.46,52.17,61.05,104.74,12.78,17.01,13.93,15.58,13.56,9.29,27.11,83.44,94.96,72.32,19.64,51.38,58.97,69.83,,4371.66,33.99,149.72,11.66,53.35,12.31,19.05,652.74,30.52,31.46,30.32,19.03,7.33,36.58,1379.59
405,2022-02-01,30.19,34.96,28.29,30.93,18.63,25.16,15.65,19.1,48.66,16.96,19.45,17.65,208.02,123.5,74.12,123.63,125.5,105.83,29.37,139.55,76.56,33.44,54.56,61.61,107.29,12.87,20.33,14.52,17.56,15.76,9.54,26.99,84.2,95.42,72.96,19.93,52.25,59.77,70.64,,4357.95,33.93,151.09,11.61,53.97,12.57,19.29,669.35,33.19,34.32,33.38,18.98,7.53,37.55,1378.69
406,2022-03-01,33.12,36.2,29.5,32.28,18.93,26.85,16.81,20.07,54.22,18.3,21.48,19.02,221.45,130.6,76.19,127.65,130.85,114.47,30.53,144.6,80.75,34.26,56.41,65.49,116.39,14.28,23.34,19.42,21.91,20.06,11.7,28.9,86.04,96.04,73.4,20.5,52.71,60.68,71.5,,4727.18,37.34,159.88,12.31,58.59,14.32,20.66,686.89,35.45,36.33,36.65,22.36,7.6,36.58,1419.79
407,2022-04-01,40.11,37.32,29.77,31.5,19.67,30.13,18.04,22.69,61.72,21.05,26.1,21.06,216.39,130.85,76.04,127.28,133.28,123.17,31.46,147.35,82.38,24.8,58.76,67.37,117.8,14.14,22.73,18.61,21.34,19.98,10.23,29.04,93.9,105.07,78.18,22.79,54.17,62.56,73.33,,5041.79,38.24,166.16,12.92,61.6,14.82,21.84,714.49,34.11,34.58,37.84,27.57,7.44,38.22,1457.22
408,2022-05-01,46.63,37.86,30.64,31.84,19.74,31.05,18.34,23.67,69.25,21.61,28.1,21.24,211.23,132.26,74.81,128.34,131.14,128.74,31.92,147.48,83.97,19.39,59.24,67.78,120.35,13.88,33.3,19.02,23.15,22.28,9.64,28.53,98.46,112.88,83.06,24.71,55.4,63.41,74.42,,4991.71,38.14,168.69,12.72,60.63,14.92,21.59,714.48,40.87,42.55,46.26,34.75,7.54,38.1,1454.58
409,2022-06-01,50.41,38.06,31.65,33.01,20.27,32.34,18.29,24.34,81.23,21.7,29.14,21.16,205.59,140.24,79.54,131.97,136.9,130.6,32.29,146.76,85.0,22.72,59.97,69.23,122.22,14.49,39.57,25.7,32.23,27.69,12.24,31.89,101.82,117.32,87.46,26.3,56.27,64.43,75.15,,5071.39,39.65,172.71,12.9,60.47,15.34,22.23,714.76,50.38,51.63,56.58,41.24,7.77,37.28,1463.78
410,2022-07-01,52.95,38.52,32.1,33.44,20.64,32.55,17.89,24.05,93.23,21.09,28.93,20.91,200.63,144.35,80.83,133.6,137.94,133.09,32.61,147.15,85.07,24.7,60.13,69.87,124.5,15.09,34.23,28.6,33.4,31.99,18.93,32.17,104.93,118.42,89.12,26.63,57.86,65.55,76.26,,5052.9,40.46,174.68,12.91,60.07,15.66,22.49,734.09,49.06,50.57,55.44,33.45,8.11,37.26,1541.04
411,2022-08-01,56.07,38.95,32.0,33.58,20.74,32.35,17.41,24.24,96.01,19.81,27.85,19.98,200.2,152.84,82.43,136.38,142.64,139.09,32.4,147.4,86.6,28.53,60.59,69.82,132.0,17.11,30.9,30.54,20.4,28.15,13.56,34.17,105.48,117.53,90.42,27.28,59.86,66.75,77.47,,5190.04,41.3,181.59,12.94,63.01,16.12,22.6,749.32,48.44,49.81,53.57,27.2,8.44,37.24,1549.66
412,2022-09-01,58.46,39.1,32.2,33.65,20.86,32.5,17.23,23.65,89.81,19.47,27.27,20.05,200.92,164.29,82.43,137.66,146.51,144.14,32.9,148.12,87.99,35.08,61.53,69.85,149.67,18.32,18.62,29.35,13.61,22.95,10.84,35.56,106.54,117.9,93.31,27.6,60.94,67.49,78.64,,5410.46,42.05,183.76,13.08,64.25,16.23,23.52,768.86,47.88,49.31,53.06,26.1,8.48,39.41,1540.31
413,2022-10-01,59.56,39.48,32.76,34.46,21.06,32.36,16.94,23.47,82.69,18.62,26.76,20.02,203.45,174.45,82.96,138.81,151.61,150.0,33.27,151.76,89.38,57.01,63.06,69.95,167.55,16.49,15.11,31.23,13.52,23.96,9.91,36.08,110.96,117.74,94.63,27.94,62.07,68.32,79.51,,5492.69,42.83,185.93,13.13,65.05,16.74,24.04,785.14,47.65,49.15,53.3,27.07,8.57,39.47,1546.95
414,2022-11-01,59.78,40.0,32.63,34.53,21.25,31.79,16.73,22.8,79.16,17.95,26.37,19.16,200.65,166.87,80.49,135.72,154.08,150.53,33.86,155.24,92.27,63.33,63.67,69.23,170.24,14.79,13.11,30.55,12.66,22.45,9.13,35.2,111.22,118.5,95.35,28.55,62.54,69.05,80.88,,5647.86,43.33,189.28,13.18,65.71,16.8,24.45,799.52,48.23,49.48,54.03,28.44,8.64,39.65,1566.63
415,2022-12-01,59.65,40.94,33.23,35.11,21.48,31.86,16.79,22.43,74.69,17.7,25.98,18.77,203.18,168.56,81.29,136.58,156.69,155.11,34.28,159.34,95.11,62.03,65.98,69.75,171.08,15.13,12.95,30.63,12.25,22.37,9.2,35.29,114.59,117.03,95.57,28.54,64.04,69.9,82.61,,5698.8,43.72,188.26,13.48,66.11,16.84,24.12,810.33,49.96,51.34,55.0,29.13,8.57,39.69,1560.9
417,2023-01-01,59.97,41.12,34.2,35.06,21.83,31.76,16.85,21.67,68.87,17.47,26.08,17.96,204.95,167.79,82.45,139.65,157.84,156.31,35.24,162.98,96.5,63.12,66.64,70.29,171.06,15.7,12.81,32.08,12.15,24.45,9.4,35.27,120.59,117.33,101.28,29.11,64.47,70.29,83.8,,5993.72,44.15,187.49,13.67,66.62,16.77,25.39,858.83,49.1,50.3,54.11,28.1,8.58,44.6,1609.19
418,2023-02-01,59.13,41.6,34.64,35.21,21.95,31.82,16.71,21.39,65.73,17.23,27.23,17.89,203.61,166.2,84.63,142.22,159.81,158.87,35.42,163.82,96.74,61.95,66.58,69.98,167.73,16.48,13.87,42.31,11.43,28.8,9.57,35.31,126.23,118.16,101.87,29.53,65.2,71.36,85.06,,5989.24,44.39,187.2,13.68,66.56,16.84,25.48,869.53,46.95,47.99,51.42,24.94,8.58,45.19,1629.25
419,2023-03-01,57.66,41.56,34.67,35.37,22.14,31.98,16.68,21.36,62.41,17.15,28.59,17.65,206.36,167.65,86.71,145.56,159.3,158.69,35.9,165.04,97.54,63.11,66.99,69.42,167.33,18.47,22.22,52.13,10.88,39.61,9.55,35.52,128.1,118.73,104.17,30.04,66.01,71.97,86.06,,6031.86,44.7,186.83,13.88,66.83,17.03,25.65,880.28,45.74,47.27,48.79,22.64,8.58,45.5,1652.73
420,2023-04-01,56.73,41.81,34.81,35.56,22.3,31.96,16.62,21.78,59.79,17.12,29.53,17.45,210.95,181.84,87.67,147.59,159.86,160.29,35.69,164.73,98.22,57.78,66.94,68.46,167.12,21.91,23.76,52.69,9.8,43.95,9.49,35.4,132.09,119.05,105.99,30.49,67.72,72.81,86.94,,6101.28,45.65,183.6,13.96,68.04,17.06,25.79,895.67,44.42,46.61,46.61,21.68,8.58,45.76,1681.53
421,2023-05-01,55.86,42.05,34.72,35.85,22.25,31.53,16.55,21.63,55.9,16.66,30.05,17.77,214.6,188.17,87.56,149.69,162.48,160.97,35.66,166.28,98.7,44.5,67.15,67.38,164.54,29.79,37.55,56.21,9.69,54.73,9.89,35.27,132.51,120.13,107.1,31.03,68.68,73.86,87.82,,6139.27,46.07,185.39,14.16,69.21,17.22,25.76,901.05,43.16,45.53,44.7,21.79,8.57,45.52,1679.6
422,2023-06-01,53.98,41.9,34.65,35.95,22.33,31.12,16.4,21.58,51.86,16.86,30.46,17.68,219.04,195.2,88.69,150.78,163.77,160.87,35.78,165.07,99.15,42.39,67.21,65.77,162.26,35.79,45.62,54.97,10.44,59.61,12.04,35.31,134.51,119.48,107.28,31.17,70.43,74.85,89.07,,6230.12,46.36,186.9,14.33,69.41,17.38,25.71,904.39,41.95,44.74,43.28,21.85,8.57,46.06,1686.43
423,2023-07-01,53.28,41.93,34.88,36.02,22.38,30.76,16.29,21.34,48.26,16.94,30.4,17.87,223.52,197.64,90.37,153.56,164.64,161.97,36.1,165.34,98.77,38.99,67.51,65.13,161.43,37.06,23.33,36.11,32.36,47.47,20.25,35.71,136.12,120.44,109.54,31.26,71.42,76.06,90.21,,6251.78,47.53,190.32,14.37,69.2,17.77,25.59,915.78,45.31,47.8,46.85,23.31,8.59,47.47,1724.77
424,2023-08-01,53.5,42.35,35.11,35.83,22.53,30.89,15.89,21.69,45.61,16.92,30.71,18.01,227.99,201.28,91.43,155.87,166.47,162.06,36.33,164.81,99.08,39.02,67.12,64.78,166.03,31.03,11.04,18.07,14.6,17.58,12.87,36.45,137.08,120.76,109.1,31.31,72.48,77.49,91.81,,6419.77,48.55,191.57,14.52,69.44,18.26,25.52,923.75,49.01,51.52,50.89,23.67,8.63,47.29,1737.78
425,2023-09-01,52.52,42.44,35.16,36.18,22.66,30.41,16.03,21.73,41.43,16.96,30.77,17.43,230.59,203.64,91.5,159.19,168.59,161.19,36.23,165.38,98.65,44.18,68.06,63.8,167.33,21.98,9.07,12.88,10.25,11.03,10.95,36.89,137.89,119.57,109.44,31.46,73.26,78.88,93.15,,6452.19,49.93,193.21,14.59,69.24,18.67,25.7,929.04,51.7,53.86,53.62,24.78,8.69,50.87,1747.15
426,2023-10-01,52.05,42.7,35.47,36.48,22.8,30.26,15.89,21.83,36.52,16.99,29.71,16.8,233.76,202.39,91.67,159.95,168.06,161.59,36.63,168.54,100.86,48.75,70.05,61.84,170.07,20.07,8.5,13.08,9.19,9.5,10.16,36.07,141.33,118.7,110.18,31.42,74.44,79.91,94.0,,6519.15,51.23,194.11,14.71,69.04,19.4,25.99,933.81,53.35,55.58,55.64,26.19,8.69,50.77,1820.9
427,2023-11-01,51.6,43.02,35.77,36.72,22.96,29.8,15.81,21.53,32.98,16.31,28.06,17.02,238.05,196.09,91.27,159.61,169.66,160.63,37.09,174.8,103.64,49.37,71.79,60.43,172.98,19.32,8.83,13.38,9.43,9.5,11.9,34.53,143.38,119.14,110.1,31.66,75.0,80.66,94.81,,6584.69,52.28,195.35,14.98,68.87,19.92,26.26,947.81,52.8,55.03,55.22,33.02,8.69,50.79,1868.73
428,2023-12-01,51.36,43.43,36.02,36.8,22.96,29.79,15.85,21.29,30.46,15.92,26.59,17.04,243.64,193.6,90.25,160.74,171.55,160.63,37.69,176.76,104.27,56.18,74.09,59.18,173.5,20.49,11.19,15.09,11.47,11.43,15.13,33.29,143.17,118.3,109.06,31.79,75.27,81.4,96.17,,6605.25,52.71,196.29,15.18,70.23,20.38,26.82,956.35,49.65,52.6,52.66,33.27,8.98,50.83,1882.06
430,2024-01-01,51.28,44.07,35.72,37.41,23.04,29.89,15.69,21.27,28.87,15.51,25.41,17.16,251.64,184.72,89.92,159.8,169.42,163.87,38.15,181.13,106.34,51.02,75.65,58.89,174.26,22.05,14.31,16.86,16.14,14.43,21.46,32.23,143.17,117.97,111.29,31.8,76.17,82.31,97.75,,6817.78,53.75,195.61,15.47,70.81,20.95,27.64,982.07,47.51,51.02,51.15,28.43,9.09,53.87,1912.79
431,2024-02-01,51.65,44.44,35.94,37.36,23.13,29.95,15.79,21.53,27.97,15.49,25.07,16.71,260.15,179.81,88.31,158.03,169.98,164.43,38.7,185.9,107.25,49.6,77.91,58.33,173.1,23.18,14.77,16.99,17.1,14.19,22.75,31.43,143.43,117.77,110.5,31.89,76.6,83.5,100.14,,6819.25,53.83,197.05,15.62,71.26,21.06,27.87,995.22,47.56,51.01,51.22,26.99,9.09,54.12,1939.58
